t,mass_B,mass_A,mass_C
34.12,0.13883543,-0.038220802,-0.038024531
34.6,0.137469388,-0.039331279,-0.036064594
35.12,0.138015805,-0.040096939,-0.040508392
35.6,0.13528372,-0.040254219,-0.039312338
36.12,0.133371261,-0.040029141,-0.040385199
36.64,0.131458802,-0.041035319,-0.038981884
37.12,0.130730246,-0.042267447,-0.040009893
37.6,0.130912385,-0.041450431,-0.039726393
38.12,0.128544578,-0.039811062,-0.038570704
38.64,0.129910621,-0.039475505,-0.039095048
39.12,0.127816023,-0.040627539,-0.036983685
39.64,0.124173243,-0.043977192,-0.036325449
40.12,0.123626826,-0.044084083,-0.034968215
40.64,0.115976989,-0.037499009,-0.03641461
41.12,0.103773678,-0.026046829,-0.03970653
41.64,0.09111502,-0.017856865,-0.043397239
42.12,0.077272458,-0.008759647,-0.045092319
42.64,0.063156688,4.32E-04,-0.047019365
43.12,0.051773002,0.007390097,-0.047837093
43.64,0.039023274,0.017656742,-0.048654821
44.12,0.025818199,0.026704171,-0.048654821
44.64,0.011247081,0.038314449,-0.052743462
45.12,0.001138369,0.047920422,-0.05253903
45.64,-0.013797027,0.059546299,-0.052130166
46.12,-0.027002102,0.071190302,-0.056423238
46.64,-0.037475093,0.082017658,-0.056014374
47.12,-0.048312362,0.096142437,-0.056218806
47.64,-0.059422839,0.104629168,-0.053152326
48.16,-0.069531552,0.116417672,-0.054787782
48.64,-0.083829461,0.123800543,-0.056218806
49.16,-0.098946996,0.133477528,-0.054992214
49.64,-0.113518113,0.141824044,-0.054076792
50.16,-0.126267841,0.152005641,-0.05662767
50.64,-0.13182308,0.156207318,-0.057240966
51.16,-0.133280192,0.153463289,-0.059285286
51.64,-0.133280192,0.150717458,-0.059898582
52.16,-0.134646234,0.147110544,-0.062351767
52.64,-0.136103346,0.145399082,-0.065622679
53.16,-0.137469388,0.145448411,-0.063373927
53.68,-0.137651527,0.14353577,-0.064191655
54.16,-0.139381847,0.142256047,-0.065827111
54.68,-0.139655056,0.140577744,-0.063578359
55.16,-0.142113932,0.138126277,-0.060920742
55.68,-0.144846016,0.135902878,-0.060511878
56.16,-0.146758476,0.135699449,-0.062147335
56.68,-0.146303128,0.135600342,-0.062965063
57.16,-0.146120989,0.137762458,-0.064804951
57.68,-0.148762004,0.133807868,-0.065418247
58.16,-0.152404784,0.131011846,-0.065213815
58.68,-0.152951201,0.128049516,-0.067871431
59.16,-0.156867188,0.125573567,-0.068280295
59.68,-0.155956494,0.122356636,-0.066440407
60.16,-0.160418898,0.119228152,-0.069506887
60.68,-0.162877774,0.119659365,-0.07379996
61.16,-0.163515261,0.118446554,-0.073391096
61.68,-0.166065206,0.120385725,-0.07379996
62.16,-0.166156276,0.11968134,-0.071346776
62.68,-0.164334886,0.117789658,-0.072164504
63.16,-0.163970608,0.1170096,-0.07175564
63.68,-0.165609859,0.116274,-0.072982232
64.16,-0.166338415,0.113391784,-0.072982232
64.68,-0.164608095,0.11136814,-0.075230984
65.2,-0.166156276,0.110700492,-0.076253144
65.68,-0.168250874,0.106204214,-0.077109731
66.2,-0.16715804,0.106163203,-0.078517043
66.68,-0.169890125,0.106781499,-0.079892989
67.2,-0.169525847,0.107065535,-0.083193486
67.68,-0.170527611,0.10509078,-0.086409982
68.2,-0.172895418,0.106917829,-0.086646313
68.68,-0.169890125,0.104795699,-0.086524781
69.2,-0.159781412,0.092660833,-0.088723497
69.68,-0.149035213,0.079708485,-0.092403274
70.2,-0.137833666,0.067335432,-0.091381114
70.72,-0.129819551,0.057122628,-0.088110201
71.24,-0.118709074,0.04521264,-0.085861449
71.76,-0.110057473,0.032996914,-0.084634857
72.24,-0.098764857,0.021070319,-0.087088041
72.76,-0.090568603,0.008999158,-0.087088041
73.24,-0.080095612,-0.003194098,-0.088519065
73.76,-0.069076205,-0.016203222,-0.09097225
74.24,-0.057146102,-0.027332505,-0.088110201
74.76,-0.045580277,-0.036683317,-0.088519065
75.28,-0.033741244,-0.047742524,-0.093221002
75.76,-0.024543226,-0.060825638,-0.091381114
76.28,-0.014707722,-0.071234303,-0.092198842
76.76,-0.005873982,-0.085979912,-0.091176682
77.28,0.005327565,-0.09949672,-0.092403274
77.76,0.015982695,-0.111495598,-0.094856458
78.28,0.027548519,-0.123274656,-0.095469754
78.76,0.036473329,-0.135069868,-0.095674186
79.28,0.045944555,-0.144915348,-0.09507798
79.76,0.05740162,-0.158223488,-0.098740666
80.28,0.057257031,-0.161181854,-0.098704337
80.76,0.054943616,-0.16086656,-0.100989419
81.28,0.053931497,-0.161094555,-0.102216011
81.76,0.052630201,-0.160034689,-0.101807147
82.28,0.050461374,-0.159995712,-0.102216011
82.8,0.046846662,-0.160597305,-0.099558395
83.28,0.045979131,-0.1628111,-0.101602715
83.8,0.046702074,-0.166942481,-0.099967259
84.28,0.043521127,-0.167037507,-0.103442603
84.8,0.044677835,-0.16797299,-0.101398283
85.28,0.043665716,-0.167402808,-0.101807147
85.8,0.045400777,-0.168745872,-0.100171691
86.28,0.045111601,-0.159342476,-0.099967259
86.8,0.040051004,-0.136597384,-0.103033739
87.32,0.036002527,-0.115803465,-0.105078059
87.84,0.03672547,-0.094033959,-0.106304651
88.36,0.036436293,-0.075454211,-0.104669195
88.84,0.034701231,-0.053715289,-0.106509083
89.36,0.036436293,-0.028467815,-0.107940107
89.84,0.032821581,-0.010047464,-0.105486923
90.36,0.032243227,0.008759328,-0.108144539
90.84,0.032098639,0.028081374,-0.110597724
91.36,0.028339339,0.027437306,-0.110802156
91.84,0.027616396,0.022155947,-0.112846476
92.36,0.02544757,0.020610183,-0.115912956
92.88,0.022122035,0.018549165,-0.11734398
93.36,0.022411212,0.017261028,-0.119183869
93.88,0.021109916,0.015708776,-0.121637053
94.36,0.018941089,0.017922948,-0.125725693
94.92,0.017061439,0.016420408,-0.125112397
95.4,0.016627673,0.016500177,-0.124499101
95.92,0.015615554,0.013267805,-0.125930125
96.4,0.013591316,0.01094916,-0.127770014
96.92,0.011711666,0.008115259,-0.131858654
97.44,0.008964485,0.006183055,-0.132267518
97.96,0.006506481,0.005649186,-0.132063086
98.48,0.003903889,0.005360275,-0.131858654
98.96,0.003036358,0.006740918,-0.13144979
99.48,0.002168827,0.006501897,-0.13451627
99.96,4.34E-04,0.003655959,-0.133289678
100.48,-0.001590473,-0.018501669,-0.13349411
100.96,-0.001590473,-0.053611813,-0.134925134
101.48,-0.002602592,-0.088212417,-0.132676382
102.04,-0.006361892,-0.099762827,-0.13656059
102.52,-0.011133312,-0.100376123,-0.140240367
103.04,-0.012579196,-0.101296067,-0.141466959
103.52,-0.013302139,-0.098945098,-0.144942303
104.04,-0.013446727,-0.065622679,-0.145351167
104.52,-0.013591316,-0.033644167,-0.147395488
105.04,-0.015760142,-0.001753391,-0.147191056
105.56,-0.017061439,0.031584747,-0.147191056
106.04,-0.018073558,0.065009383,-0.14759992
106.56,-0.019664031,0.09557197,-0.146168895
107.04,-0.020386973,0.126441205,-0.148008784
107.56,-0.021109916,0.158741465,-0.149848672
108.04,-0.020531562,0.163517594,-0.14759992
108.6,-0.018073558,0.160678042,-0.147804352
109.08,-0.019085677,0.160278012,-0.152506288
109.6,-0.019230266,0.158719338,-0.15475504
110.16,-0.021543681,0.158260185,-0.151892992
110.64,-0.022122035,0.158081299,-0.1506664
111.16,-0.022700389,0.159344655,-0.147804352
111.64,-0.02356792,0.158596832,-0.14964424
112.16,-0.023278743,0.157965571,-0.153937312
112.64,-0.026748866,0.155246004,-0.152097424
113.16,-0.026170512,0.151329283,-0.151075264
113.64,-0.027905573,0.148245898,-0.151484128
114.16,-0.028483927,0.148002473,-0.151279696
114.68,-0.028483927,0.146156967,-0.152097424
115.16,-0.02920687,0.143733455,-0.155981633
115.64,-0.029351458,0.143037449,-0.15475504
116.16,-0.011711666,0.100372291,-0.155981633
116.68,0.009403873,0.047630182,-0.157412657
117.16,0.031891395,-0.008386131,-0.159865841
117.68,0.053765622,-0.064287858,-0.160683569
118.16,0.07584428,-0.118835132,-0.158639249
118.64,0.096696346,-0.17468115,-0.158230385
119.16,0.103442603,-0.193837633,-0.159456977
119.68,0.102624875,-0.192538888,-0.158639249
120.16,0.099967259,-0.193804061,-0.159048113
120.68,0.098811498,-0.196508753,-0.160274705
121.16,0.09578108,-0.200501393,-0.159048113
121.68,0.093460108,-0.200565791,-0.160683569
122.16,0.072164504,-0.147373515,-0.159456977
122.68,0.051925733,-0.094954008,-0.160274705
123.16,0.026167299,-0.040344989,-0.160274705
123.68,0.001839888,0.013226098,-0.163545617
124.2,-0.021465362,0.067266475,-0.165998802
124.68,-0.043748453,0.120982284,-0.165181073
125.2,-0.068280295,0.172912977,-0.164772209
125.68,-0.072573368,0.179079746,-0.168043122
126.2,-0.076457576,0.178430613,-0.16681653
126.68,-0.075639848,0.176970062,-0.166407666
127.2,-0.078297464,0.178019276,-0.163136753
127.68,-0.078501896,0.177341496,-0.165998802
128.2,-0.078093032,0.176484516,-0.167225394
128.68,-0.078297464,0.175509685,-0.168043122
129.2,-0.078501896,0.174535811,-0.16681653
129.68,-0.081568377,0.17404896,-0.167225394
130.2,-0.085657017,0.170478725,-0.16886085
130.68,-0.102829307,0.212834696,-0.169269714
131.2,-0.11325534,0.173562786,-0.167634258
131.68,-0.111006588,0.111824316,-0.16886085
132.2,-0.087088041,0.05764983,-0.16681653
132.68,-0.065622679,-2.04E-04,-0.169678578
133.2,-0.043748453,-0.05969415,-0.17090517
133.72,-0.020852066,-0.115708524,-0.170700738
134.24,0.001839888,-0.173358354,-0.172336194
134.76,0.021874226,-0.185624276,-0.173358354
135.24,0.040068676,-0.18603314,-0.176833699
135.76,0.042726293,-0.188895188,-0.173562786
136.24,0.03843322,-0.188690756,-0.174993811
136.76,0.034753444,-0.191348372,-0.177446995
137.24,0.030255939,-0.195232581,-0.178264723
137.8,0.030664803,-0.196663605,-0.177651427
138.32,0.033526852,-0.199525653,-0.177651427
138.8,0.033117988,-0.199730085,-0.179900179
139.32,0.031482531,-0.203000997,-0.183579955
139.8,0.030255939,-0.206067478,-0.181740067
140.32,0.030460371,-0.196459173,-0.181740067
140.84,0.032913555,-0.143102415,-0.181944499
141.32,0.028620483,-0.087496905,-0.181740067
141.8,0.017785586,-0.036593332,-0.182557795
142.32,0.005315233,0.019012178,-0.182557795
142.84,-0.006541825,0.066644839,-0.181944499
143.32,-0.019012178,0.120001597,-0.183784387
143.84,-0.032095827,0.172336194,-0.185215412
144.32,-0.041090836,0.195641445,-0.186646436
144.84,-0.053765622,0.195641445,-0.187193327
145.32,-0.058876422,0.195506812,-0.188104022
145.84,-0.059285286,0.193005268,-0.188104022
146.32,-0.05969415,0.173132486,-0.189925412
146.84,-0.064804951,0.118185759,-0.188650439
147.32,-0.060920742,0.066560661,-0.180909532
147.84,-0.046201637,0.007792468,-0.155501146
148.36,-0.037615492,-0.050907641,-0.128180301
148.84,-0.028007187,-0.107600241,-0.102862984
149.36,-0.018807746,-0.160821866,-0.081006307
149.84,-0.007359553,-0.217519729,-0.052865836
150.36,0.002248752,,-0.027821728
150.84,0.013492513,,-0.003141897
151.36,0.012879217,,0.005782912
151.84,0.012265921,,0.004599009
152.36,0.007768417,,0.004963287
152.84,0.007563985,,0.005965051
153.36,0.006541825,,0.004234731
153.88,0.001635456,,-0.002140133
154.4,-0.025554003,,-0.026049145
154.92,-0.045588341,,-0.051754028
155.4,-0.071346776,,-0.078950712
155.96,-0.096491914,,-0.107753951
156.44,-0.118979437,,-0.132196541
156.96,-0.141058095,,-0.159966994
157.48,-0.143306847,,-0.16478666
157.96,-0.144124575,,-0.165016168
158.48,-0.145351167,,-0.167426001
158.96,-0.14657776,,-0.167081739
159.48,-0.13349411,,-0.155262083
159.96,-0.112846476,,-0.131163755
160.48,-0.093834298,,-0.10728464
160.96,-0.071551208,,-0.082560013
161.48,-0.047428229,,-0.056534089
161.96,-0.023100818,,-0.032532404
162.48,-5.60E-04,,-0.0075186
162.96,0.019925911,,0.016772262
163.48,0.04111595,,0.039328062
163.96,0.062453777,,0.066221516
164.48,0.082676144,,0.092102851
164.96,0.104610386,,0.116972067
165.48,0.127671613,,0.140649231
166,0.149359883,,0.163136753
166.48,0.171626506,,0.161296865
167,0.151245695,,0.162114593
167.48,0.149409632,,0.159661409
168,0.134950635,,0.146782192
168.48,0.109016244,,0.120819325
169,0.088590043,,0.095265322
169.48,0.063344176,,0.069098023
170,0.040622895,,0.043135157
170.48,0.015377028,,0.016967858
171,-0.007803268,,-0.008381713
171.48,-0.032131104,,-0.037002196
172,-0.056213973,,-0.065827111
172.48,-0.08213755,,-0.092198842
173,-0.104136001,,-0.120819325
173.52,-0.128524414,,-0.146168895
174,-0.152622742,,-0.172336194
174.48,-0.161344042,,-0.186442004
175,-0.163180105,,-0.185828708
175.52,-0.161344042,,-0.185828708
176,-0.145967014,,-0.171314034
176.52,-0.12577032,,-0.145964463
177,-0.103737563,,-0.120614893
177.52,-0.083025518,,-0.098740666
178,-0.062287359,,-0.07686644
178.52,-0.041999943,,-0.052130166
179,-0.019022533,,-0.028007187
179.52,0.003968285,,-0.00306648
180,0.027606697,,0.02126093
180.52,0.051180258,,0.042726293
181,0.07367203,,0.066849271
181.52,0.09432774,,0.092198842
182.04,0.116819512,,0.118979437
182.52,0.135409651,,0.145351167
183.04,0.153081758,,0.167634258
183.52,0.152622742,,0.166407666
184.04,0.152163726,,0.168043122
184.52,0.153081758,,0.168656418
185.04,0.151704711,,0.166612098
185.52,0.149180124,,0.167020962
186.04,0.147803077,,0.166407666
186.52,0.147344061,,0.167225394
187.04,0.145048982,,0.167020962
187.52,0.145967014,,0.166203234
188.04,0.145048982,,0.167634258
188.6,0.14206538,,0.171722898
189.08,0.142524395,,0.167429826
189.6,0.139770301,,0.165589938
190.08,0.13655719,,0.161501297
190.6,0.136327682,,0.162932321
191.08,0.134262112,,0.161296865
191.6,0.134032604,,0.160070273
192.08,0.131737525,,0.159865841
